street,city,zipcode,region,abbr,country,complete,continent
5300 Northwest 50th Street,Warr Acres,73122,Oklahoma,OK,United States,"5300 Northwest 50th Street, Warr Acres OK 73122",North America
1411 S. Ridgeview Drive,Warrensburg,64093,Missouri,MO,United States,"1411 S. Ridgeview Drive, Warrensburg MO 64093",North America
6480 College Street,Warrenton,20187,Virginia,VA,United States,"6480 College Street, Warrenton VA 20187",North America
5606 River Road,Waunakee,53597,Wisconsin,WI,United States,"5606 River Road, Waunakee WI 53597",North America
12150 Vespa Way,Weeki Wachee,34614,Florida,FL,United States,"12150 Vespa Way, Weeki Wachee FL 34614",North America
9168 S. Avenue 36E,Wellton,85356,Arizona,AZ,United States,"9168 S. Avenue 36E, Wellton AZ 85356",North America
521 South 16th Street,West Columbia,77486,Texas,TX,United States,"521 South 16th Street, West Columbia TX 77486",North America
1222 South State Road 263,West Lebanon,47991,Indiana,IN,United States,"1222 South State Road 263, West Lebanon IN 47991",North America
201 Riggs Street,West Monroe,71291,Louisiana,LA,United States,"201 Riggs Street, West Monroe LA 71291",North America
1 Webster Knight Dr,West Warwick,02893,Rhode Island,RI,United States,"1 Webster Knight Dr, West Warwick RI 02893",North America
130 West Park Avenue,Wheaton,60189,Illinois,IL,United States,"130 West Park Avenue, Wheaton IL 60189",North America
414 East Goodnow Street,White City,66872,Kansas,KS,United States,"414 East Goodnow Street, White City KS 66872",North America
1020 West Holland Avenue,White Hall,71602-9572,Arkansas,AR,United States,"1020 West Holland Avenue, White Hall AR 71602-9572",North America
110 South Main Street,Whitewater,67154,Kansas,KS,United States,"110 South Main Street, Whitewater KS 67154",North America
201 North Water Street,Wichita,67202,Kansas,KS,United States,"201 North Water Street, Wichita KS 67202",North America
1090 S. Vulture Mine Road,Wickenburg,85390,Arizona,AZ,United States,"1090 S. Vulture Mine Road, Wickenburg AZ 85390",North America
240 N. Bisbee Avenue,Willcox,85643,Arizona,AZ,United States,"240 N. Bisbee Avenue, Willcox AZ 85643",North America
440 S. 7th Street,Williams,86046,Arizona,AZ,United States,"440 S. 7th Street, Williams AZ 86046",North America
"901 Penn Street,",Williamsport,17701,Pennsylvania,PA,United States,"901 Penn Street,, Williamsport PA 17701",North America
300 Helton St.,Williamstown,41097,Kentucky,KY,United States,"300 Helton St., Williamstown KY 41097",North America
1595 Hopkins Road,Williamsville,14221,New York,NY,United States,"1595 Hopkins Road, Williamsville NY 14221",North America
1013 Eastwood Road,Wilmington,28403,North Carolina,NC,United States,"1013 Eastwood Road, Wilmington NC 28403",North America
6410 Carolina Beach Road,Wilmington,28412,North Carolina,NC,United States,"6410 Carolina Beach Road, Wilmington NC 28412",North America
824 Thorne Avenue,Winkelman,85192,Arizona,AZ,United States,"824 Thorne Avenue, Winkelman AZ 85192",North America
200 East McNair Road,Winnebago,61088,Illinois,IL,United States,"200 East McNair Road, Winnebago IL 61088",North America
2100 Summerfield Road,Winter Park,32792,Florida,FL,United States,"2100 Summerfield Road, Winter Park FL 32792",North America
676 Baseline Road,Winterhaven,92283,California,CA,United States,"676 Baseline Road, Winterhaven CA 92283",North America
7 MBL Street,Woods Hole,02543-1015,Massachusetts,MA,United States,"7 MBL Street, Woods Hole MA 02543-1015",North America
Hwy 288 at Baker Ranch Rd,Young,85554,Arizona,AZ,United States,"Hwy 288 at Baker Ranch Rd, Young AZ 85554",North America
4061 Creek Road,Youngstown,14174,New York,NY,United States,"4061 Creek Road, Youngstown NY 14174",North America
4401 Southern Boulevard,Youngstown,44512,Ohio,OH,United States,"4401 Southern Boulevard, Youngstown OH 44512",North America
1777 S. Yukon Parkway,Yukon,73099,Oklahoma,OK,United States,"1777 S. Yukon Parkway, Yukon OK 73099",North America
16 avenue Édouard Grinda,Nice,06000,Provence-Alpes-Côte d'Azur,,France,"16 avenue Édouard Grinda, 06000 Nice",Europe
158 boulevard Haussmann,Paris,75001,Île-de-France,,France,"158 boulevard Haussmann, 75001 Paris",Europe
37 quai Branly,Paris,75001,Île-de-France,,France,"37 quai Branly, 75001 Paris",Europe
14 cours de Verdun,Lyon,69001,Auvergne-Rhône-Alpes,,France,"14 cours de Verdun, 69001 Lyon",Europe
2 place Louis Comte,Saint-Étienne,42000,Auvergne-Rhône-Alpes,,France,"2 place Louis Comte, 42000 Saint-Étienne",Europe
58 cours Belsunce,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"58 cours Belsunce, 13001 Marseille",Europe
51 Avenue du Maréchal de Lattre de Tassigny,Créteil,94000,Île-de-France,,France,"51 Avenue du Maréchal de Lattre de Tassigny, 94000 Créteil",Europe
1 place Robert Fernier,Ornans,25290,Bourgogne-Franche-Comté,,France,"1 place Robert Fernier, 25290 Ornans",Europe
192 avenue de Colmar Mulhouse,Mulhouse,68100,Grand Est,,France,"192 avenue de Colmar Mulhouse, 68100 Mulhouse",Europe
261 boulevard Raspail,Paris,75001,Île-de-France,,France,"261 boulevard Raspail, 75001 Paris",Europe
6 rue des Cristalleries,Baccarat,54120,Grand Est,,France,"6 rue des Cristalleries, 54120 Baccarat",Europe
4 Rue de l'École,Merkwiller-Pechelbronn,67250,Grand Est,,France,"4 Rue de l'École, 67250 Merkwiller-Pechelbronn",Europe
74 boulevard de Port-Royal,Paris,75001,Île-de-France,,France,"74 boulevard de Port-Royal, 75001 Paris",Europe
42 quai de Dogneville,Épinal,88000,Grand Est,,France,"42 quai de Dogneville, 88000 Épinal",Europe
18 rue Voltaire,Nantes,44000,Pays de la Loire,,France,"18 rue Voltaire, 44000 Nantes",Europe
3 place du Château,Strasbourg,67000,Grand Est,,France,"3 place du Château, 67000 Strasbourg",Europe
24 place Dauphine,Paris,75001,Île-de-France,,France,"24 place Dauphine, 75001 Paris",Europe
187 rue Saint-Jacques,Paris,75001,Île-de-France,,France,"187 rue Saint-Jacques, 75001 Paris",Europe
1 avenue du Corps Européen,Fleury-devant-Douaumont,55100,Grand Est,,France,"1 avenue du Corps Européen, 55100 Fleury-devant-Douaumont",Europe
165 chemin du Grand-Revoyet,Pierre-Bénite,69310,Auvergne-Rhône-Alpes,,France,"165 chemin du Grand-Revoyet, 69310 Pierre-Bénite",Europe
66 rue Pergolèse,Paris,75001,Île-de-France,,France,"66 rue Pergolèse, 75001 Paris",Europe
5 place d'Arsonval,Lyon,69001,Auvergne-Rhône-Alpes,,France,"5 place d'Arsonval, 69001 Lyon",Europe
151 boulevard Saint-Germain,Paris,75001,Île-de-France,,France,"151 boulevard Saint-Germain, 75001 Paris",Europe
29 rue Manin,Paris,75001,Île-de-France,,France,"29 rue Manin, 75001 Paris",Europe
4 parvis Corentin-Celton,Issy-les-Moulineaux,92130,Île-de-France,,France,"4 parvis Corentin-Celton, 92130 Issy-les-Moulineaux",Europe
9 avenue Charles-de-Gaulle,Boulogne-Billancourt,92100,Île-de-France,,France,"9 avenue Charles-de-Gaulle, 92100 Boulogne-Billancourt",Europe
157 rue de la Porte de Trivaux,Clamart,92140,Île-de-France,,France,"157 rue de la Porte de Trivaux, 92140 Clamart",Europe
178 rue des Renouillers,Colombes,92700,Île-de-France,,France,"178 rue des Renouillers, 92700 Colombes",Europe
7 avenue de la République,Ivry-sur-Seine,94200,Île-de-France,,France,"7 avenue de la République, 94200 Ivry-sur-Seine",Europe
12 avenue Paul-Vaillant-Couturier,Villejuif,94800,Île-de-France,,France,"12 avenue Paul-Vaillant-Couturier, 94800 Villejuif",Europe
1 rue Eugène Delacroix,Draveil,91210,Île-de-France,,France,"1 rue Eugène Delacroix, 91210 Draveil",Europe
200 rue du Faubourg-Saint-Denis,Paris,75001,Île-de-France,,France,"200 rue du Faubourg-Saint-Denis, 75001 Paris",Europe
4 rue de la Chine,Paris,75001,Île-de-France,,France,"4 rue de la Chine, 75001 Paris",Europe
11 rue Chardon-Lagache,Paris,75001,Île-de-France,,France,"11 rue Chardon-Lagache, 75001 Paris",Europe
33 rue du Fer à Moulin,Paris,75001,Île-de-France,,France,"33 rue du Fer à Moulin, 75001 Paris",Europe
48 boulevard Sérurier,Paris,75001,Île-de-France,,France,"48 boulevard Sérurier, 75001 Paris",Europe
46 rue Henri-Huchard,Paris,75001,Île-de-France,,France,"46 rue Henri-Huchard, 75001 Paris",Europe
27 rue du Faubourg-Saint-Jacques,Paris,75001,Île-de-France,,France,"27 rue du Faubourg-Saint-Jacques, 75001 Paris",Europe
6 place de la République,Strasbourg,67000,Grand Est,,France,"6 place de la République, 67000 Strasbourg",Europe
1 rue des Unterlinden,Colmar,68000,Grand Est,,France,"1 rue des Unterlinden, 68000 Colmar",Europe
45 bis avenue de la Belle-Gabrielle,Paris,75001,Île-de-France,,France,"45 bis avenue de la Belle-Gabrielle, 75001 Paris",Europe
8 rue des Acadiens,Nantes,44000,Pays de la Loire,,France,"8 rue des Acadiens, 44000 Nantes",Europe
106 rue la Fayette,Paris,75001,Île-de-France,,France,"106 rue la Fayette, 75001 Paris",Europe
17 rue Sainte-Anne,Dijon,21000,Bourgogne-Franche-Comté,,France,"17 rue Sainte-Anne, 21000 Dijon",Europe
58 allées Charles-de-Fitte,Toulouse,31000,Occitanie,,France,"58 allées Charles-de-Fitte, 31000 Toulouse",Europe
3 Place Stanislas,Nancy,54000,Grand Est,,France,"3 Place Stanislas, 54000 Nancy",Europe
8 rue Montaigne,Vannes,56000,Bretagne,,France,"8 rue Montaigne, 56000 Vannes",Europe
6 place Saint-Germain-des-Prés,Paris,75001,Île-de-France,,France,"6 place Saint-Germain-des-Prés, 75001 Paris",Europe
69 avenue de Paris,Saint-Mandé,94160,Île-de-France,,France,"69 avenue de Paris, 94160 Saint-Mandé",Europe
28 rue Laennec,Lyon,69001,Auvergne-Rhône-Alpes,,France,"28 rue Laennec, 69001 Lyon",Europe
7 rue Ferrère,Bordeaux,33000,Nouvelle-Aquitaine,,France,"7 rue Ferrère, 33000 Bordeaux",Europe
158 cours Fauriel,Saint-Étienne,42000,Auvergne-Rhône-Alpes,,France,"158 cours Fauriel, 42000 Saint-Étienne",Europe
54 Rue Chaudrier,La Rochelle,17000,Nouvelle-Aquitaine,,France,"54 Rue Chaudrier, 17000 La Rochelle",Europe
86 Quai Perrache,Lyon,69001,Auvergne-Rhône-Alpes,,France,"86 Quai Perrache, 69001 Lyon",Europe
25 rue Barbet-de-Jouy,Paris,75001,Île-de-France,,France,"25 rue Barbet-de-Jouy, 75001 Paris",Europe
59 avenue Foch,Paris,75001,Île-de-France,,France,"59 avenue Foch, 75001 Paris",Europe
22 rue des Alouettes,Paris,75001,Île-de-France,,France,"22 rue des Alouettes, 75001 Paris",Europe
17 avenue Franklin-D.-Roosevelt,Paris,75001,Île-de-France,,France,"17 avenue Franklin-D.-Roosevelt, 75001 Paris",Europe
78 rue de la Convention,Paris,75001,Île-de-France,,France,"78 rue de la Convention, 75001 Paris",Europe
12 avenue de la Résistance,Valençay,36600,Centre-Val de Loire,,France,"12 avenue de la Résistance, 36600 Valençay",Europe
5 place du Château,Strasbourg,67000,Grand Est,,France,"5 place du Château, 67000 Strasbourg",Europe
2 rue du Vieux-Marché-aux-Poissons,Strasbourg,67000,Grand Est,,France,"2 rue du Vieux-Marché-aux-Poissons, 67000 Strasbourg",Europe
28 place de la Madeleine,Paris,75001,Île-de-France,,France,"28 place de la Madeleine, 75001 Paris",Europe
11 rue Poulbot,Paris,75001,Île-de-France,,France,"11 rue Poulbot, 75001 Paris",Europe
4 boulevard Gambetta,Évreux,27000,Normandie,,France,"4 boulevard Gambetta, 27000 Évreux",Europe
1 allée du Grand Chêne,Portet-sur-Garonne,31120,Occitanie,,France,"1 allée du Grand Chêne, 31120 Portet-sur-Garonne",Europe
100 boulevard du Général-Leclerc,Clichy,92110,Île-de-France,,France,"100 boulevard du Général-Leclerc, 92110 Clichy",Europe
26 avenue du Docteur-Arnold-Netter et rue Lasson,Paris,75001,Île-de-France,,France,"26 avenue du Docteur-Arnold-Netter et rue Lasson, 75001 Paris",Europe
22 rue Anatole-France,Roanne,42300,Auvergne-Rhône-Alpes,,France,"22 rue Anatole-France, 42300 Roanne",Europe
65 rue Joseph-Vernet,Avignon,84000,Provence-Alpes-Côte d'Azur,,France,"65 rue Joseph-Vernet, 84000 Avignon",Europe
171 boulevard du Montparnasse,Paris,75001,Île-de-France,,France,"171 boulevard du Montparnasse, 75001 Paris",Europe
12 rue Voltaire,Nantes,44000,Pays de la Loire,,France,"12 rue Voltaire, 44000 Nantes",Europe
28 rue Albert Ier,La Rochelle,17000,Nouvelle-Aquitaine,,France,"28 rue Albert Ier, 17000 La Rochelle",Europe
5 rue Las Cases,Paris,75001,Île-de-France,,France,"5 rue Las Cases, 75001 Paris",Europe
13 vieille route des Pensières,Veyrier-du-Lac,74290,Auvergne-Rhône-Alpes,,France,"13 vieille route des Pensières, 74290 Veyrier-du-Lac",Europe
49 rue du Général-de-Gaulle,Reims,51100,Grand Est,,France,"49 rue du Général-de-Gaulle, 51100 Reims",Europe
52 rue Saint-Pierre,Caen,14000,Normandie,,France,"52 rue Saint-Pierre, 14000 Caen",Europe
105 boulevard du Montparnasse,Paris,75001,Île-de-France,,France,"105 boulevard du Montparnasse, 75001 Paris",Europe
40 rue de Mesly,Créteil,94000,Île-de-France,,France,"40 rue de Mesly, 94000 Créteil",Europe
55 rue du Pâturage,Mulhouse,68100,Grand Est,,France,"55 rue du Pâturage, 68100 Mulhouse",Europe
1 rue Pierre-et-Marie-Curie,Paris,75001,Île-de-France,,France,"1 rue Pierre-et-Marie-Curie, 75001 Paris",Europe
127 rue de Tocqueville,Paris,75001,Île-de-France,,France,"127 rue de Tocqueville, 75001 Paris",Europe
4 place Monseigneur Berteaud,Tulle,19000,Nouvelle-Aquitaine,,France,"4 place Monseigneur Berteaud, 19000 Tulle",Europe
480 Chemin Sala,Montfort-en-Chalosse,40380,Nouvelle-Aquitaine,,France,"480 Chemin Sala, 40380 Montfort-en-Chalosse",Europe
156 Boulevard Baille,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"156 Boulevard Baille, 13001 Marseille",Europe
17 rue Barbet-de-Jouy,Paris,75001,Île-de-France,,France,"17 rue Barbet-de-Jouy, 75001 Paris",Europe
1 place de Finlande,Paris,75001,Île-de-France,,France,"1 place de Finlande, 75001 Paris",Europe
6 place des Vosges,Paris,75001,Île-de-France,,France,"6 place des Vosges, 75001 Paris",Europe
264 rue Saint-Pierre,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"264 rue Saint-Pierre, 13001 Marseille",Europe
56 avenue d'Iéna,Paris,75001,Île-de-France,,France,"56 avenue d'Iéna, 75001 Paris",Europe
28 avenue du Général-de-Gaulle,Bagnolet,93170,Île-de-France,,France,"28 avenue du Général-de-Gaulle, 93170 Bagnolet",Europe
23 rue de l'Église,Lit-et-Mixe,40170,Nouvelle-Aquitaine,,France,"23 rue de l'Église, 40170 Lit-et-Mixe",Europe
112 place de la mairie,Sanguinet,40460,Nouvelle-Aquitaine,,France,"112 place de la mairie, 40460 Sanguinet",Europe
83 rue de Courcelles,Arbois,39600,Bourgogne-Franche-Comté,,France,"83 rue de Courcelles, 39600 Arbois",Europe
1 place Désiré-Brumbt,Haguenau,67500,Grand Est,,France,"1 place Désiré-Brumbt, 67500 Haguenau",Europe
22 cours Tourny,Périgueux,24000,Nouvelle-Aquitaine,,France,"22 cours Tourny, 24000 Périgueux",Europe
1 Ter Rue D'agier,Grenoble,38000,Auvergne-Rhône-Alpes,,France,"1 Ter Rue D'agier, 38000 Grenoble",Europe
495 avenue du Maréchal Juin,Mont-de-Marsan,40000,Nouvelle-Aquitaine,,France,"495 avenue du Maréchal Juin, 40000 Mont-de-Marsan",Europe
8 rue de la Gare,Sarre-Union,67260,Grand Est,,France,"8 rue de la Gare, 67260 Sarre-Union",Europe
25 Rue Jules Roch à Orchies,Orchies,59310,Hauts-de-France,,France,"25 Rue Jules Roch à Orchies, 59310 Orchies",Europe
78 rue Montorgueil,Paris,75001,Île-de-France,,France,"78 rue Montorgueil, 75001 Paris",Europe
68 boulevard Pierre Semard,Toulouse,31000,Occitanie,,France,"68 boulevard Pierre Semard, 31000 Toulouse",Europe
22 Grande rue,Saint-Père,89450,Bourgogne-Franche-Comté,,France,"22 Grande rue, 89450 Saint-Père",Europe
10 avenue du Président-Wilson,Paris,75001,Île-de-France,,France,"10 avenue du Président-Wilson, 75001 Paris",Europe
3 rue Royale,Paris,75001,Île-de-France,,France,"3 rue Royale, 75001 Paris",Europe
215 avenue Anatole-France,Anzin,59410,Hauts-de-France,,France,"215 avenue Anatole-France, 59410 Anzin",Europe
1 rue de Talleyrand,Paris,75001,Île-de-France,,France,"1 rue de Talleyrand, 75001 Paris",Europe
35 avenue Montaigne,Paris,75001,Île-de-France,,France,"35 avenue Montaigne, 75001 Paris",Europe
12 rue Jean de La Fontaine,Château-Thierry,02400,Hauts-de-France,,France,"12 rue Jean de La Fontaine, 02400 Château-Thierry",Europe
1 place de l'hôpital,Strasbourg,67000,Grand Est,,France,"1 place de l'hôpital, 67000 Strasbourg",Europe
14 rue de la Désirée,La Rochelle,17000,Nouvelle-Aquitaine,,France,"14 rue de la Désirée, 17000 La Rochelle",Europe
12 rue de la Désirée,La Rochelle,17000,Nouvelle-Aquitaine,,France,"12 rue de la Désirée, 17000 La Rochelle",Europe
2 rue Saint-Cône,La Rochelle,17000,Nouvelle-Aquitaine,,France,"2 rue Saint-Cône, 17000 La Rochelle",Europe
17 avenue de La Ferté-sous-Jouarre,Saint-Cyr-sur-Morin,77750,Île-de-France,,France,"17 avenue de La Ferté-sous-Jouarre, 77750 Saint-Cyr-sur-Morin",Europe
10 rue Fleuriau à La Rochelle,La Rochelle,17000,Nouvelle-Aquitaine,,France,"10 rue Fleuriau à La Rochelle, 17000 La Rochelle",Europe
2 rue Saint-Michel à La Rochelle,La Rochelle,17000,Nouvelle-Aquitaine,,France,"2 rue Saint-Michel à La Rochelle, 17000 La Rochelle",Europe
11 rue Raymond Joubert à Archingeay,Archingeay,17380,Nouvelle-Aquitaine,,France,"11 rue Raymond Joubert à Archingeay, 17380 Archingeay",Europe
33 rue du Temple,La Rochelle,17000,Nouvelle-Aquitaine,,France,"33 rue du Temple, 17000 La Rochelle",Europe
16 place André Dulin,Saint-Just-Luzac,17320,Nouvelle-Aquitaine,,France,"16 place André Dulin, 17320 Saint-Just-Luzac",Europe
5 Place de la Mairie,La Chapelle-des-Pots,17100,Nouvelle-Aquitaine,,France,"5 Place de la Mairie, 17100 La Chapelle-des-Pots",Europe
13 rue Magot de Rogéville,Pont-à-Mousson,54700,Grand Est,,France,"13 rue Magot de Rogéville, 54700 Pont-à-Mousson",Europe
9 rue Regnaud,Saint-Jean-d'Angély,17400,Nouvelle-Aquitaine,,France,"9 rue Regnaud, 17400 Saint-Jean-d'Angély",Europe
22 boulevard Suchet,Paris,75001,Île-de-France,,France,"22 boulevard Suchet, 75001 Paris",Europe
12 boulevard Maréchal-Lyautey,Grenoble,38000,Auvergne-Rhône-Alpes,,France,"12 boulevard Maréchal-Lyautey, 38000 Grenoble",Europe
21 rue de Metz,Toulouse,31000,Occitanie,,France,"21 rue de Metz, 31000 Toulouse",Europe
5 rue Le Tasse,Paris,75001,Île-de-France,,France,"5 rue Le Tasse, 75001 Paris",Europe
18 avenue Henri-Barbusse,Vitry-sur-Seine,94400,Île-de-France,,France,"18 avenue Henri-Barbusse, 94400 Vitry-sur-Seine",Europe
4 rue des Bons Enfants,Dijon,21000,Bourgogne-Franche-Comté,,France,"4 rue des Bons Enfants, 21000 Dijon",Europe
85 rue du Cherche-Midi,Paris,75001,Île-de-France,,France,"85 rue du Cherche-Midi, 75001 Paris",Europe
2 rue de la Basilique,Domrémy-la-Pucelle,88630,Grand Est,,France,"2 rue de la Basilique, 88630 Domrémy-la-Pucelle",Europe
2 rue de la Gare,Wintzenheim,68920,Grand Est,,France,"2 rue de la Gare, 68920 Wintzenheim",Europe
4 avenue de Perpignan,Canet-en-Roussillon,66140,Occitanie,,France,"4 avenue de Perpignan, 66140 Canet-en-Roussillon",Europe
17 rue de la Glapiney,Morteau,25500,Bourgogne-Franche-Comté,,France,"17 rue de la Glapiney, 25500 Morteau",Europe
1 route des Châteaux,Clérac,17270,Nouvelle-Aquitaine,,France,"1 route des Châteaux, 17270 Clérac",Europe
10 route Gare,Vergné,17330,Nouvelle-Aquitaine,,France,"10 route Gare, 17330 Vergné",Europe
17 Boulevard Roger Lételié-La Tremblade,La Tremblade,17390,Nouvelle-Aquitaine,,France,"17 Boulevard Roger Lételié-La Tremblade, 17390 La Tremblade",Europe
24 quai du Port-Saint-Savinien,Saint-Savinien,17350,Nouvelle-Aquitaine,,France,"24 quai du Port-Saint-Savinien, 17350 Saint-Savinien",Europe
10 rue Etoc-Demazy,Le Mans,72000,Pays de la Loire,,France,"10 rue Etoc-Demazy, 72000 Le Mans",Europe
1 rue de la Limoise-Échillais,Échillais,17620,Nouvelle-Aquitaine,,France,"1 rue de la Limoise-Échillais, 17620 Échillais",Europe
3 rue Rabelais,Paris,75001,Île-de-France,,France,"3 rue Rabelais, 75001 Paris",Europe
44 rue de Montmoreau,Angoulême,16000,Nouvelle-Aquitaine,,France,"44 rue de Montmoreau, 16000 Angoulême",Europe
6 avenue des Lombards,Troyes,10000,Grand Est,,France,"6 avenue des Lombards, 10000 Troyes",Europe
6 Quai d'Orléans,Paris,75001,Île-de-France,,France,"6 Quai d'Orléans, 75001 Paris",Europe
64 avenue Foch,Paris,75001,Île-de-France,,France,"64 avenue Foch, 75001 Paris",Europe
12 rue Franklin Roosevelt,Reims,51100,Grand Est,,France,"12 rue Franklin Roosevelt, 51100 Reims",Europe
50 rue du Général-de-Gaulle,Saint-Denis,97400,La Réunion,,France,"50 rue du Général-de-Gaulle, 97400 Saint-Denis",Europe
29 rue Saint Joseph Ouvrier,Saint-Denis,97400,La Réunion,,France,"29 rue Saint Joseph Ouvrier, 97400 Saint-Denis",Europe
266 rue du Maréchal-Leclerc,Saint-Denis,97400,La Réunion,,France,"266 rue du Maréchal-Leclerc, 97400 Saint-Denis",Europe
1 boulevard Loreau,Briare,45250,Centre-Val de Loire,,France,"1 boulevard Loreau, 45250 Briare",Europe
58 boulevard Buyser,Briare,45250,Centre-Val de Loire,,France,"58 boulevard Buyser, 45250 Briare",Europe
28 rue Bayard,Paris,75001,Île-de-France,,France,"28 rue Bayard, 75001 Paris",Europe
12 avenue Arthur Gaulard,Besançon,25000,Bourgogne-Franche-Comté,,France,"12 avenue Arthur Gaulard, 25000 Besançon",Europe
50 rue de Lisbonne,Paris,75001,Île-de-France,,France,"50 rue de Lisbonne, 75001 Paris",Europe
41 Avenue Félix Zoccola,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"41 Avenue Félix Zoccola, 13001 Marseille",Europe
184 rue du Faubourg-Saint-Antoine,Paris,75001,Île-de-France,,France,"184 rue du Faubourg-Saint-Antoine, 75001 Paris",Europe
9 rue de la République,Draguignan,83300,Provence-Alpes-Côte d'Azur,,France,"9 rue de la République, 83300 Draguignan",Europe
2 avenue Foch,Brest,29200,Bretagne,,France,"2 avenue Foch, 29200 Brest",Europe
185 rue Raymond-Losserand,Paris,75001,Île-de-France,,France,"185 rue Raymond-Losserand, 75001 Paris",Europe
6 rue Fabert,Paris,75001,Île-de-France,,France,"6 rue Fabert, 75001 Paris",Europe
45 rue du Bourdon-Blanc,Orléans,45000,Centre-Val de Loire,,France,"45 rue du Bourdon-Blanc, 45000 Orléans",Europe
2 boulevard Dr. Verlhac,Brive-la-Gaillarde,19100,Nouvelle-Aquitaine,,France,"2 boulevard Dr. Verlhac, 19100 Brive-la-Gaillarde",Europe
8 place Saint-Martin,Montbéliard,25200,Bourgogne-Franche-Comté,,France,"8 place Saint-Martin, 25200 Montbéliard",Europe
3 rue du Musée,Wissembourg,67160,Grand Est,,France,"3 rue du Musée, 67160 Wissembourg",Europe
5 place de l'Eglise,Issy-les-Moulineaux,92130,Île-de-France,,France,"5 place de l'Eglise, 92130 Issy-les-Moulineaux",Europe
24 rue Gontier-Patin,Abbeville,80100,Hauts-de-France,,France,"24 rue Gontier-Patin, 80100 Abbeville",Europe
40 Rue Worth,Suresnes,92150,Île-de-France,,France,"40 Rue Worth, 92150 Suresnes",Europe
57 avenue de la Californie,Nice,06000,Provence-Alpes-Côte d'Azur,,France,"57 avenue de la Californie, 06000 Nice",Europe
20 rue Vaneau,Paris,75001,Île-de-France,,France,"20 rue Vaneau, 75001 Paris",Europe
133 avenue de la Résistance,Le Plessis-Robinson,92350,Île-de-France,,France,"133 avenue de la Résistance, 92350 Le Plessis-Robinson",Europe
77 avenue Marceau,Paris,75001,Île-de-France,,France,"77 avenue Marceau, 75001 Paris",Europe
9 rue Viète,Paris,75001,Île-de-France,,France,"9 rue Viète, 75001 Paris",Europe
7 quai de Conti,Paris,75001,Île-de-France,,France,"7 quai de Conti, 75001 Paris",Europe
35 rue du Faubourg-Saint-Honoré,Paris,75001,Île-de-France,,France,"35 rue du Faubourg-Saint-Honoré, 75001 Paris",Europe
21 avenue de Saxe,Paris,75001,Île-de-France,,France,"21 avenue de Saxe, 75001 Paris",Europe
22 rue d'Aguesseau,Paris,75001,Île-de-France,,France,"22 rue d'Aguesseau, 75001 Paris",Europe
22 rue Berlioz,Paris,75001,Île-de-France,,France,"22 rue Berlioz, 75001 Paris",Europe
103 rue de Grenelle,Paris,75001,Île-de-France,,France,"103 rue de Grenelle, 75001 Paris",Europe
4 avenue d'Iéna,Paris,75001,Île-de-France,,France,"4 avenue d'Iéna, 75001 Paris",Europe
2 rue de Lübeck,Paris,75001,Île-de-France,,France,"2 rue de Lübeck, 75001 Paris",Europe
2 boulevard de La Tour-Maubourg,Paris,75001,Île-de-France,,France,"2 boulevard de La Tour-Maubourg, 75001 Paris",Europe
59 quai d'Orsay,Paris,75001,Île-de-France,,France,"59 quai d'Orsay, 75001 Paris",Europe
30 rue des Marchands,Colmar,68000,Grand Est,,France,"30 rue des Marchands, 68000 Colmar",Europe
25 rue Georges-Bizet,Paris,75001,Île-de-France,,France,"25 rue Georges-Bizet, 75001 Paris",Europe
22 rue Abel Guy,Jarnac,16200,Nouvelle-Aquitaine,,France,"22 rue Abel Guy, 16200 Jarnac",Europe
16 avenue de Lamballe,Paris,75001,Île-de-France,,France,"16 avenue de Lamballe, 75001 Paris",Europe
20 rue Marbeau,Paris,75001,Île-de-France,,France,"20 rue Marbeau, 75001 Paris",Europe
16 rue Murillo,Paris,75001,Île-de-France,,France,"16 rue Murillo, 75001 Paris",Europe
140 grande rue,Besançon,25000,Bourgogne-Franche-Comté,,France,"140 grande rue, 25000 Besançon",Europe
67 boulevard Charles V,Honfleur,14600,Normandie,,France,"67 boulevard Charles V, 14600 Honfleur",Europe
125 rue du Ranelagh,Paris,75001,Île-de-France,,France,"125 rue du Ranelagh, 75001 Paris",Europe
4 rue Kléber,Levallois-Perret,92300,Île-de-France,,France,"4 rue Kléber, 92300 Levallois-Perret",Europe
1 rue de Sébastopol,Strasbourg,67000,Grand Est,,France,"1 rue de Sébastopol, 67000 Strasbourg",Europe
14 avenue Robert-Schuman,Paris,75001,Île-de-France,,France,"14 avenue Robert-Schuman, 75001 Paris",Europe
24 rue Marbeau,Paris,75001,Île-de-France,,France,"24 rue Marbeau, 75001 Paris",Europe
26 rue Émile-Ménier,Paris,75001,Île-de-France,,France,"26 rue Émile-Ménier, 75001 Paris",Europe
20 bd du Général Guillaudot,Vannes,56000,Bretagne,,France,"20 bd du Général Guillaudot, 56000 Vannes",Europe
5 avenue Robert-Schuman,Boulogne-Billancourt,92100,Île-de-France,,France,"5 avenue Robert-Schuman, 92100 Boulogne-Billancourt",Europe
